"","topics","Griffiths2004","CaoJuan2009","Arun2010","Deveaud2014"
"1",15,-2261822.14218382,0.0945058313624877,87855.1198489075,2.93098291166695
"2",14,-2274941.96974872,0.0929773050370362,88435.321459789,2.95909919339484
"3",13,-2290517.53971509,0.0912940986394705,89483.836987976,2.9755588550238
"4",12,-2302359.15663613,0.103794231264732,90327.1878095134,2.98289244732214
"5",11,-2323362.30889132,0.110475513082018,91788.5396202697,2.97661830733872
"6",10,-2344749.85361099,0.110786057615447,92534.7717863733,3.00256076595559
"7",9,-2368771.35268808,0.0982311848639928,93761.2133617273,3.07603664634994
"8",8,-2389090.9118865,0.0857856801864777,94840.2123683676,3.05206339488775
"9",7,-2430377.71132791,0.114146938112047,96892.6491838944,3.09041142406288
"10",6,-2470835.40574954,0.0910210320325149,98676.0168476754,3.11752647744495
"11",5,-2512172.71768194,0.0719744708415034,100798.799396353,3.17411171277601
"12",4,-2577572.65448277,0.0706615177724402,103187.56088814,3.21103225372326
"13",3,-2667579.71154169,0.106669027880867,107682.419200546,3.17423378215527
"14",2,-2795167.20426213,0.150449023129231,112888.329466019,3.08884382166946
